leh, ladakh,kargil, ladakh,216.16,1095.79,54.79,1150.57,5.00
Kandahar, Afghanistan,Kabul, Afghanistan,500.34,5023.36,703.27,5726.63,14.00
Kandahar, Afghanistan,Kabul, Afghanistan,500.34,5023.36,703.27,5726.63,14.00
Kandahar, Afghanistan,Jalalabad, Afghanistan,645.85,6465.45,969.82,7435.27,15.00
Kandahar, Afghanistan,Jalalabad, Afghanistan,645.85,9694.68,969.47,10664.14,10.00
Jajpur Keonjhar Road Railway Station, Jajpur,Jokadia, Jajpur,8.04,127.62,12.76,140.38,10.00
Bhubaneswar, Odisha,Cuttack, Odisha,26.30,268.00,13.40,281.40,5.00,Tue Sep 03 03:27:20 IST 2024
Bhubaneswar, Odisha,Cuttack, Odisha,26.30,268.00,13.40,281.40,5.00,Tue Sep 03 03:27:34 IST 2024
Bhubaneswar, Odisha,Cuttack, Odisha,26.30,133.50,6.68,140.18,5.00,Tue Sep 03 03:28:13 IST 2024
Larnoo, Jammu and Kashmir,Anantanag, Jammu and Kashmir,40.71,412.08,20.60,432.68,5.00,Tue Sep 03 03:34:23 IST 2024
Larnoo, Jammu and Kashmir,Anantanag, Jammu and Kashmir,40.71,328.66,32.87,361.53,10.00,Tue Sep 03 03:34:53 IST 2024
Larnoo, Jammu and Kashmir,Anantanag, Jammu and Kashmir,40.71,824.16,41.21,865.37,5.00,Tue Sep 03 03:35:09 IST 2024
GILGIT,SKARDU,199.73,2002.29,100.11,2102.40,5.00,Tue Sep 03 03:42:49 IST 2024
JHATIASAHI, ODISHA,JOKADIA, JAJPUR,36.40,369.01,18.45,387.46,5.00,Tue Sep 03 03:46:11 IST 2024
JHATIASAHI, ODISHA,JOKADIA, JAJPUR,36.40,192.01,26.88,218.89,14.00,Tue Sep 03 03:46:49 IST 2024
JHATIASAHI, ODISHA,JOKADIA, JAJPUR,36.40,192.01,26.88,218.89,14.00,Tue Sep 03 03:48:30 IST 2024
Patnitop,Larnoo,126.56,1280.56,153.67,1434.23,12.00,Tue Sep 03 03:58:47 IST 2024
